"B","CD14 Mono","CD16 Mono","CD4 T","CD8 T","DC","DN","gdT","HSPC","intermediate","MAIT","Neutrophil","NK","NKT","Plasma","Platelet","RBC","unassigned"
1,0.998414290924221,0.997876141083846,0.999274097754701,0.999145848485016,0.998226768210525,0.992430358847014,0.996684032601705,0.941200621075732,0.996903523471954,0.997832409106774,0.965219001073687,0.999128901683874,0.998227377398294,0.971856181305024,0.983435817494607,0.988557384443371,0.996207170055242
0.998414290924221,1,0.998883170896164,0.998108950361838,0.998494076003509,0.998149003416934,0.992830093340769,0.995738687172846,0.941902774870963,0.996865937503102,0.996738542623934,0.968677718864111,0.998789421254419,0.998293702701085,0.971558283410524,0.983478118927229,0.987099055090303,0.995215464645652
0.997876141083846,0.998883170896164,1,0.998058566592018,0.998649628880846,0.998391890960979,0.993241012562704,0.996008936026055,0.948758462449412,0.995341589958069,0.997179910933187,0.964989816751001,0.99864882821634,0.998128011181327,0.967467694039024,0.982503124973727,0.984846784890401,0.99348264693382
0.999274097754701,0.998108950361838,0.998058566592018,1,0.999675492919725,0.998398283689699,0.992474052975518,0.997765081012564,0.939326345280985,0.996960759724897,0.998784881431362,0.962783312971376,0.999399346638938,0.998628218912609,0.970215949656558,0.981014542053722,0.98653927867892,0.996051231839365
0.999145848485016,0.998494076003509,0.998649628880846,0.999675492919725,1,0.998560702068423,0.992794844116596,0.9979751835506,0.942901820029103,0.996551832268372,0.998988650577426,0.96249759816736,0.999609410515812,0.999097640718308,0.969219118330327,0.981404624278879,0.986125633320351,0.995888299733696
0.998226768210525,0.998149003416934,0.998391890960979,0.998398283689699,0.998560702068423,1,0.991606243819358,0.99675751945547,0.939232471630337,0.997086747287624,0.997889632298825,0.964720609300662,0.998192401314506,0.997120160248595,0.973717772514231,0.981371884572348,0.986312139588897,0.995818119950641
0.992430358847014,0.992830093340769,0.993241012562704,0.992474052975518,0.992794844116596,0.991606243819358,1,0.98626110915394,0.950236058314877,0.988689608816226,0.989251139356489,0.965126984558992,0.993123746184195,0.991547819471945,0.961756222772692,0.985135076060827,0.981328778188422,0.986737258677525
0.996684032601705,0.995738687172846,0.996008936026055,0.997765081012564,0.9979751835506,0.99675751945547,0.98626110915394,1,0.933285435471252,0.995288909502097,0.998835047753521,0.953818011238919,0.997216631087619,0.997678278512762,0.968292523381177,0.97228960332577,0.981297050050867,0.99526437004487
0.941200621075732,0.941902774870963,0.948758462449412,0.939326345280985,0.942901820029103,0.939232471630337,0.950236058314877,0.933285435471252,1,0.928533424277941,0.936452771281231,0.911694519716352,0.943351712801935,0.944728981237817,0.883948824588625,0.940742146506695,0.92800190363237,0.926993144988908
0.996903523471954,0.996865937503102,0.995341589958069,0.996960759724897,0.996551832268372,0.997086747287624,0.988689608816226,0.995288909502097,0.928533424277941,1,0.995822641712117,0.96486848041068,0.996583230209429,0.995135122547003,0.983481277492643,0.978434052170269,0.986114297648309,0.997190659660838
0.997832409106774,0.996738542623934,0.997179910933187,0.998784881431362,0.998988650577426,0.997889632298825,0.989251139356489,0.998835047753521,0.936452771281231,0.995822641712117,1,0.95705250166536,0.998224919272824,0.998009816484477,0.96810069430712,0.976097854388228,0.983650140682095,0.994935539678493
0.965219001073687,0.968677718864111,0.964989816751001,0.962783312971376,0.96249759816736,0.964720609300662,0.965126984558992,0.953818011238919,0.911694519716352,0.96486848041068,0.95705250166536,1,0.96463584827038,0.959881970449278,0.954906565036507,0.97868015132828,0.965310820451008,0.962632426265223
0.999128901683874,0.998789421254419,0.99864882821634,0.999399346638938,0.999609410515812,0.998192401314506,0.993123746184195,0.997216631087619,0.943351712801935,0.996583230209429,0.998224919272824,0.96463584827038,1,0.999223817427569,0.969255206673634,0.982449462659,0.986269006515459,0.996066704667293
0.998227377398294,0.998293702701085,0.998128011181327,0.998628218912609,0.999097640718308,0.997120160248595,0.991547819471945,0.997678278512762,0.944728981237817,0.995135122547003,0.998009816484477,0.959881970449278,0.999223817427569,1,0.964476405138345,0.97840707721046,0.984465266420289,0.994921434026203
0.971856181305024,0.971558283410524,0.967467694039024,0.970215949656558,0.969219118330327,0.973717772514231,0.961756222772692,0.968292523381177,0.883948824588625,0.983481277492643,0.96810069430712,0.954906565036507,0.969255206673634,0.964476405138345,1,0.962467394951012,0.968220628420434,0.98090005977397
0.983435817494607,0.983478118927229,0.982503124973727,0.981014542053722,0.981404624278879,0.981371884572348,0.985135076060827,0.97228960332577,0.940742146506695,0.978434052170269,0.976097854388228,0.97868015132828,0.982449462659,0.97840707721046,0.962467394951012,1,0.983710548795929,0.979453336572718
0.988557384443371,0.987099055090303,0.984846784890401,0.98653927867892,0.986125633320351,0.986312139588897,0.981328778188422,0.981297050050867,0.92800190363237,0.986114297648309,0.983650140682095,0.965310820451008,0.986269006515459,0.984465266420289,0.968220628420434,0.983710548795929,1,0.986694363366192
0.996207170055242,0.995215464645652,0.99348264693382,0.996051231839365,0.995888299733696,0.995818119950641,0.986737258677525,0.99526437004487,0.926993144988908,0.997190659660838,0.994935539678493,0.962632426265223,0.996066704667293,0.994921434026203,0.98090005977397,0.979453336572718,0.986694363366192,1
